text,primary_intent,sub_intent,market,language,variant,has_typo,has_accents,mentions_product,occasion,confidence_expected,source,timestamp
¿Cuánto demoran en procesar una devolución?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402624
puedo devolver el sostén adhesivo si no pega bien,INFORMATIONAL,policy_return,CL,es,neutral,False,True,null,null,MEDIUM,claude_synthetic,1766882489.1402626
¿Tienen política de satisfacción garantizada?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402628
como hago para devolver un producto,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140264
¿Puedo devolver aretes si no me quedan bien?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402643
devolucion de vestidos de novia,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,boda,MEDIUM,claude_synthetic,1766882489.1402645
¿Qué pasa si pierdo las etiquetas del vestido?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402647
puedo cambiar el vestido Alexa por otro modelo,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Alexa,null,MEDIUM,claude_synthetic,1766882489.140265
¿Los productos adhesivos se pueden devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402652
cuales son los requisitos para devolver,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402655
¿Puedo devolver si me equivoqué de talla?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402657
devolucion de clutch Leonor,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Leonor,null,MEDIUM,claude_synthetic,1766882489.140266
¿Tienen garantía en sus productos?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402662
puedo devolver después de usar el producto,INFORMATIONAL,policy_return,CL,es,neutral,False,True,null,null,MEDIUM,claude_synthetic,1766882489.1402674
¿Qué documentos necesito para una devolución?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402683
devolucion de bralette Camila,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Camila,null,MEDIUM,claude_synthetic,1766882489.1402683
¿Puedo cambiar por otro producto de igual valor?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402688
como funciona la politica de devolucion,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402688
¿Se puede devolver si el producto viene defectuoso?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402693
puedo devolver tocados de novia,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,boda,MEDIUM,claude_synthetic,1766882489.1402693
¿Cuánto tiempo tengo exactamente para devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402695
devolucion de vestidos cortos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402698
¿Puedo devolver si el despacho se demora mucho?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.14027
que pasa si quiero devolver algo comprado en oferta,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402712
¿Los 30 días empiezan desde que compro o recibo?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402714
puedo cambiar la lencería Mia por otra,INFORMATIONAL,policy_return,CL,es,neutral,False,True,Mia,null,MEDIUM,claude_synthetic,1766882489.1402717
¿Qué pasa si devuelvo después de los 30 días?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140272
devolucion de productos de satin,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402721
¿Puedo devolver si no es lo que esperaba?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402724
como hago el cambio de un vestido largo,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402726
¿Aceptan devoluciones sin el empaque original?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402729
puedo devolver calzón adhesivo,INFORMATIONAL,policy_return,CL,es,neutral,False,True,null,null,MEDIUM,claude_synthetic,1766882489.1402729
¿Hay algún costo por hacer devoluciones?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402733
devolucion de vestido Victoria,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Victoria,null,MEDIUM,claude_synthetic,1766882489.1402743
¿Puedo cambiar por una talla más grande?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402748
que necesito para hacer una devolucion,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402748
¿Se puede devolver ropa interior?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402752
puedo devolver parches levanta busto,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402752
¿Cuándo me devuelven el dinero?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402757
devolucion de aros acrilicos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402757
¿Puedo devolver si compré la talla equivocada?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140276
como cambio un producto por otro,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402762
¿Los cambios tienen el mismo plazo que devoluciones?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402764
puedo devolver vestido Lia si no me gusta,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Lia,null,MEDIUM,claude_synthetic,1766882489.1402774
¿Qué pasa si el producto llega dañado?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140278
devolucion de cinta doble contacto,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402783
¿Puedo devolver después de probarlo una vez?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402783
que condiciones piden para devolver,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402786
¿Se puede cambiar lencería invisible?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402788
puedo devolver el vestido Cayetana,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Cayetana,null,MEDIUM,claude_synthetic,1766882489.1402793
¿Hay productos que no se pueden devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402793
devolucion de pezoneras,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402795
¿Cuánto demora el reembolso del dinero?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402798
puedo cambiar por otro color,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402812
¿Qué pasa si no tengo la boleta?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402814
devolucion de bras invisibles,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402817
¿Puedo devolver si me arrepiento de la compra?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140282
como hago para cambiar de talla,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402822
¿Los accesorios para el cabello se pueden devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402822
puedo devolver vestido Elena,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Elena,null,MEDIUM,claude_synthetic,1766882489.1402826
¿Qué pasa si el producto no es de mi talla?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402826
devolucion de brami Julieta,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Julieta,null,MEDIUM,claude_synthetic,1766882489.1402829
¿Puedo cambiar un vestido por lencería?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140283
que politica tienen de satisfaccion,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140284
¿Se puede devolver si no me queda como esperaba?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402843
puedo devolver peinetas,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402848
¿Cuándo empieza a correr el plazo de devolución?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140285
devolucion de vestidos de eventos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,fiesta,MEDIUM,claude_synthetic,1766882489.1402853
¿Puedo devolver si el material no me gusta?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402855
como funciona el proceso de cambio,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402857
¿Los sostenes de silicona se pueden devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140286
puedo devolver bolso Lorenza,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Lorenza,null,MEDIUM,claude_synthetic,1766882489.1402862
¿Qué pasa si devuelvo algo usado?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402864
devolucion de lenceria Lucia,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Lucia,null,MEDIUM,claude_synthetic,1766882489.1402874
¿Puedo cambiar por un modelo diferente?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402876
que tiempo tengo para hacer el cambio,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140288
¿Se puede devolver si no es mi estilo?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402884
puedo devolver aros con piedras,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402886
¿Hay alguna penalización por devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402888
devolucion de vestido de fiesta,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,fiesta,MEDIUM,claude_synthetic,1766882489.140289
¿Puedo devolver si el producto no funciona?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402893
como cambio un bralette por otro,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402895
¿Qué documentación necesito para el cambio?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402898
puedo devolver lenceria Mila,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Mila,null,MEDIUM,claude_synthetic,1766882489.1402907
¿Los 30 días incluyen fines de semana?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140291
devolucion de productos adhesivos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402912
¿Puedo devolver si me equivoqué en el pedido?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402917
que pasa si quiero cambiar despues de una semana,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140292
¿Se puede devolver lencería sin usar?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402922
puedo devolver vestido Lorena,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Lorena,null,MEDIUM,claude_synthetic,1766882489.1402924
¿Cuánto tiempo demora procesar un cambio?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402926
devolucion de tocados,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140293
¿Puedo devolver si no me convence la calidad?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402931
como hago el cambio por otra talla,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140294
¿Los cambios tienen algún costo adicional?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402943
puedo devolver bralette Isidora,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Isidora,null,MEDIUM,claude_synthetic,1766882489.140295
¿Qué pasa si devuelvo sin las etiquetas?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140295
devolucion de clutch para eventos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,fiesta,MEDIUM,claude_synthetic,1766882489.1402955
¿Puedo cambiar un producto por otro más caro?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402955
que condiciones tienen para los cambios,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402957
¿Se puede devolver si compré por error?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140296
puedo devolver lenceria Olivia,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Olivia,null,MEDIUM,claude_synthetic,1766882489.1402962
¿Cuándo me contactan sobre mi devolución?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402967
devolucion de vestidos largos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402974
¿Puedo devolver si no es lo que pedí?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402977
como cambio un vestido por otro modelo,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140298
¿Hay excepciones en la política de devolución?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402981
puedo devolver brami Laura,INFORMATIONAL,policy_return,CL,es,neutral,False,False,Laura,null,MEDIUM,claude_synthetic,1766882489.1402986
¿Qué pasa si el producto viene en mal estado?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402988
devolucion de accesorios adhesivos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140299
¿Puedo devolver después de lavarlo?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402993
que requisitos piden para el cambio,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1402996
¿Se puede devolver si no me gusta el fit?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1402998
puedo devolver vestido corto,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403
¿Los días de devolución son corridos?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403003
devolucion de lenceria invisible,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403005
¿Puedo cambiar por un producto de otra categoría?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403008
como hago para devolver algo,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140301
¿Qué pasa si pierdo el empaque?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403012
puedo devolver bralette sin costuras,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403012
¿Cuánto tiempo tengo realmente para devolver?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140302
devolucion de productos de eventos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,fiesta,MEDIUM,claude_synthetic,1766882489.140302
¿Puedo devolver si no me queda la copa?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403024
que pasa si devuelvo algo defectuoso,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403027
¿Se puede cambiar lencería por otra talla?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403031
puedo devolver aretes de fiesta,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,fiesta,MEDIUM,claude_synthetic,1766882489.1403031
¿Hay algún formulario para devoluciones?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403036
devolucion de vestidos de satin,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403036
¿Puedo devolver si cambié de opinión?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403039
como cambio un producto usado,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140304
¿Los cambios por talla son gratuitos?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403043
puedo devolver calzon adhesivo,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403046
¿Qué pasa si devuelvo fuera de plazo?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403048
devolucion de productos sin usar,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140305
¿Puedo devolver si no es para la ocasión?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403055
que necesito para hacer un cambio,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403058
¿Se puede devolver ropa probada?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140306
puedo devolver vestido de novia,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,boda,MEDIUM,claude_synthetic,1766882489.1403062
¿Cuándo recibo mi dinero de vuelta?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403065
devolucion de lenceria adhesiva,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403067
¿Puedo cambiar por el mismo producto en otra talla?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140307
como funciona la garantia de devolucion,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403072
¿Qué pasa si el producto no es original?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403081
puedo devolver bras de silicona,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403084
¿Los cambios demoran lo mismo que devoluciones?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403086
devolucion de complementos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140309
¿Puedo devolver si no me gusta cómo se ve?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403093
que politica manejan para cambios,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403096
¿Se puede devolver sin comprobante de compra?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403098
puedo devolver tocado de novia,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,boda,MEDIUM,claude_synthetic,1766882489.14031
¿Hay productos con garantía extendida?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403103
devolucion de vestidos para bodas,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,boda,MEDIUM,claude_synthetic,1766882489.1403105
¿Puedo devolver si no funciona como esperaba?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403108
como hago el proceso de devolucion,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403117
¿Qué condiciones debe cumplir el producto?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140312
puedo devolver lenceria con etiquetas,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403124
¿Los 30 días son desde la compra o entrega?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403127
devolucion de productos probados,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140313
¿Puedo cambiar por algo de menor valor?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403131
que pasa si no estoy conforme,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403131
¿Se puede devolver si está en perfecto estado?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403136
puedo devolver parches adhesivos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403139
¿Cuánto demora el proceso completo?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140314
devolucion de vestidos usados una vez,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140315
¿Puedo devolver si me queda muy grande?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403153
como cambio por una talla diferente,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140316
¿Hay algún límite en las devoluciones?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403162
puedo devolver cinta para vestidos,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403165
¿Qué pasa si devuelvo algo sin probar?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403167
devolucion de lenceria nueva,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.140317
¿Puedo cambiar un regalo que me hicieron?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.1403172
que documentos ocupo para devolver,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403177
¿Se puede devolver si no me convence?,INFORMATIONAL,policy_return,CL,es,formal,False,True,null,null,HIGH,claude_synthetic,1766882489.140318
puedo devolver pezoneras adhesivas,INFORMATIONAL,policy_return,CL,es,neutral,False,False,null,null,MEDIUM,claude_synthetic,1766882489.1403189
